CourseCode,Subject,Code,Section,Class Type,Class Number,Enroll Limit,Enroll Number,Waitlist Limit,Waitlist Number,Time-start,Time-end,M Bool,T Bool,W Bool,Th Bool,F Bool
GEOG405,GEOG,405,001,LEC,5763,50,13,0,0,8:30AM,11:20AM,True,False,False,False,False
GEOG407,GEOG,407,001,SEM,5574,100,70,0,0,8:30AM,9:50AM,False,True,False,False,False
GEOG407,GEOG,407,101,LAB,5727,25,21,0,0,1:00PM,2:20PM,False,False,False,False,True
GEOG407,GEOG,407,102,LAB,5728,25,8,0,0,11:30AM,12:50AM,False,False,False,False,True
GEOG407,GEOG,407,103,LAB,5729,25,16,0,0,1:00PM,2:20PM,True,False,False,False,False
GEOG407,GEOG,407,104,LAB,5730,25,25,0,0,8:30AM,9:50AM,False,True,False,True,False
GEOG423,GEOG,423,001,LEC,5685,25,7,0,0,2:30PM,5:20PM,True,False,False,False,False
GEOG432,GEOG,432,001,LEC,5652,10,9,0,0,8:30AM,9:50AM,True,False,True,False,False
GEOG452,GEOG,452,001,PRJ,5708,10,5,0,0,11:30AM,2:20PM,False,True,False,True,False
GEOG457,GEOG,457,001,LEC,5756,50,50,0,0,2:30PM,5:20PM,False,True,False,False,False
GEOG471,GEOG,471,001,SEM,5487,60,32,0,0,2:30PM,5:20PM,False,True,False,False,False
GEOG471,GEOG,471,101,TUT,5488,30,20,0,0,12:30AM,2:20PM,False,True,False,True,False
GEOG471,GEOG,471,102,TUT,5489,30,12,0,0,10:30AM,12:20AM,False,False,True,False,False
GEOG474,GEOG,474,001,SEM,5768,12,2,0,0,11:30AM,2:20PM,True,False,False,False,False
GEOG481,GEOG,481,001,SEM,5693,38,15,0,0,11:30AM,2:20PM,False,False,True,False,False
GEOG487,GEOG,487,001,SEM,5478,40,35,0,0,2:30PM,5:20PM,True,False,False,False,False
GEOG490A,GEOG,490A,001,PRJ,5490,20,1,0,0,8:30AM,10:20AM,False,True,False,True,False
GEOG490B,GEOG,490B,001,PRJ,5491,40,7,0,0,8:30AM,10:20AM,False,True,False,True,False
GER101,GER,101,001,LEC,3236,30,26,0,0,4:00PM,5:20PM,True,False,True,False,False
GER101,GER,101,002,LEC,4121,30,25,0,0,2:30PM,3:50PM,False,True,False,True,False
GER102,GER,102,001,LEC,3238,24,22,0,0,4:00PM,5:20PM,True,False,True,False,False
GERON218,GERON,218,001,LEC,7801,20,8,0,0,6:30PM,9:20AM,False,True,False,True,False
GERON245,GERON,245,001,LEC,3004,2,0,0,0,10:00AM,11:20AM,False,True,False,True,False
GERON352,GERON,352,001,LEC,2986,2,2,0,0,1:00PM,2:20PM,True,False,True,False,False
GERON355,GERON,355,001,LEC,2996,10,5,0,0,9:30AM,10:20AM,True,False,True,False,True
GRK102,GRK,102,001,LEC,3222,30,11,0,0,9:30AM,10:20AM,True,False,True,False,True
GRK331,GRK,331,001,LEC,7971,5,5,0,0,11:30AM,12:50AM,True,False,True,False,False
GRK490,GRK,490,001,RDG,4232,2,1,0,0,11:30AM,12:50AM,True,False,True,False,False
HIST105,HIST,105,001,LEC,8248,125,125,0,0,11:30AM,12:50AM,True,False,True,False,False
HIST111,HIST,111,001,LEC,3716,120,37,0,0,1:00PM,2:20PM,False,True,False,True,False
HIST113,HIST,113,001,LEC,3514,120,106,0,0,10:00AM,11:20AM,True,False,True,False,False
HIST226,HIST,226,001,LEC,4280,50,50,0,0,2:30PM,3:50PM,False,True,False,True,False
HIST235,HIST,235,001,LEC,3717,25,15,0,0,10:00AM,11:20AM,False,True,False,True,False
HIST236,HIST,236,001,LEC,3719,40,41,0,0,4:00PM,5:20PM,True,False,True,False,False
HIST239,HIST,239,001,LEC,8254,25,25,0,0,11:30AM,12:50AM,True,False,True,False,False
HIST252,HIST,252,001,LEC,3676,15,15,0,0,10:00AM,11:20AM,False,True,False,True,False
HIST254,HIST,254,001,LEC,3761,30,15,0,0,11:30AM,12:20AM,True,False,True,False,False
HIST254,HIST,254,101,DIS,4261,30,15,0,0,12:30AM,1:20PM,False,False,True,False,False
HIST258,HIST,258,001,LEC,8256,40,26,0,0,1:00PM,2:20PM,False,True,False,True,False
HIST268,HIST,268,001,LEC,4034,60,59,0,0,10:00AM,11:20AM,True,False,True,False,False
HIST277,HIST,277,001,LEC,8258,20,8,0,0,10:00AM,11:20AM,True,False,True,False,False
HIST313,HIST,313,001,LEC,8124,15,13,0,0,1:00PM,2:20PM,False,True,False,True,False
HIST358,HIST,358,001,LEC,3875,50,48,0,0,6:30PM,9:20AM,False,True,False,True,False
HIST374,HIST,374,001,LEC,8128,20,10,0,0,10:00AM,11:20AM,False,True,False,True,False
HLTH102,HLTH,102,001,LEC,2880,335,308,0,0,8:30AM,9:50AM,False,True,False,True,False
HLTH102,HLTH,102,101,TUT,2969,23,23,0,0,3:30PM,4:20PM,False,True,False,True,False
HLTH102,HLTH,102,102,TUT,2970,25,24,0,0,2:30PM,3:20PM,False,True,False,True,False
HLTH102,HLTH,102,103,TUT,2971,25,25,0,0,1:30PM,2:20PM,False,False,True,False,False
HLTH102,HLTH,102,104,TUT,2972,25,25,0,0,12:30AM,1:20PM,False,False,True,False,False
HLTH102,HLTH,102,105,TUT,2973,24,24,0,0,11:30AM,12:20AM,False,False,True,False,False
HLTH102,HLTH,102,106,TUT,2974,25,25,0,0,10:30AM,11:20AM,False,False,True,False,False
HLTH102,HLTH,102,107,TUT,2981,21,18,0,0,8:30AM,9:20AM,False,False,True,False,False
HLTH102,HLTH,102,108,TUT,2993,25,24,0,0,2:30PM,3:20PM,True,False,False,False,False
HLTH102,HLTH,102,109,TUT,2994,25,25,0,0,10:30AM,11:20AM,True,False,False,False,False
HLTH102,HLTH,102,110,TUT,2995,19,18,0,0,4:30PM,5:20PM,True,False,False,False,False
HLTH102,HLTH,102,111,TUT,3105,18,16,0,0,3:30PM,4:20PM,True,False,False,False,False
HLTH102,HLTH,102,113,TUT,3121,19,19,0,0,9:30AM,10:20AM,False,False,True,False,False
HLTH102,HLTH,102,114,TUT,3122,19,17,0,0,9:30AM,10:20AM,True,False,False,False,False
HLTH102,HLTH,102,115,TUT,3123,25,25,0,0,4:30PM,5:20PM,False,True,False,False,False
HLTH218,HLTH,218,001,LEC,7818,30,17,0,0,6:30PM,9:20AM,False,True,False,True,False
HLTH230,HLTH,230,001,LEC,2977,150,147,0,0,1:00PM,2:20PM,False,True,False,True,False
HLTH245,HLTH,245,001,LEC,3005,328,318,0,0,10:00AM,11:20AM,False,True,False,True,False
HLTH260,HLTH,260,001,LEC,2975,135,134,0,0,11:30AM,12:50AM,True,False,True,False,False
HLTH341,HLTH,341,001,LEC,7822,125,124,0,0,8:30AM,9:50AM,True,False,True,False,False
HLTH344,HLTH,344,001,LEC,3016,50,42,0,0,2:30PM,5:20PM,False,False,False,False,True
HLTH352,HLTH,352,001,LEC,2985,123,119,0,0,1:00PM,2:20PM,True,False,True,False,False
HLTH420,HLTH,420,001,LEC,3033,15,10,0,0,8:30AM,9:50AM,True,False,True,False,False
HLTH432B,HLTH,432B,001,RDG,2883,50,19,0,0,10:00AM,11:20AM,False,False,False,False,True
HLTH435,HLTH,435,001,LEC,3090,75,73,0,0,6:30PM,9:20AM,False,False,True,False,False
HLTH445,HLTH,445,001,LEC,3130,25,13,0,0,11:30AM,2:20PM,False,True,False,True,False
HLTH449,HLTH,449,001,SEM,7824,20,20,0,0,11:30AM,2:20PM,True,False,False,False,False
HRM200,HRM,200,001,LEC,3285,300,60,0,0,6:30PM,9:20AM,False,True,False,False,False
HRM301,HRM,301,001,LEC,3304,48,44,0,0,6:30PM,9:20AM,False,True,False,False,False
HRM303,HRM,303,001,LEC,3509,55,52,0,0,11:30AM,12:50AM,False,True,False,True,False
INDEV202,INDEV,202,001,LEC,5530,10,7,0,0,2:30PM,3:50PM,False,True,False,True,False
INDEV300,INDEV,300,001,LEC,5584,25,16,0,0,8:30AM,11:20AM,True,False,False,False,False
INTEG10,INTEG,10,001,SEM,5524,84,59,0,0,2:30PM,3:50PM,False,False,False,False,True
INTEG121,INTEG,121,001,LEC,5523,60,21,0,0,2:30PM,3:20PM,True,False,True,False,False
INTEG121,INTEG,121,101,STU,5648,60,21,0,0,3:30PM,4:20PM,True,False,True,False,False
INTEG221,INTEG,221,001,LEC,5527,30,14,0,0,2:30PM,3:50PM,False,True,False,True,False
INTEG230,INTEG,230,001,SEM,5528,30,8,0,0,1:00PM,2:20PM,False,False,False,False,True
INTEG321,INTEG,321,001,LEC,5533,40,10,0,0,11:30AM,2:20PM,False,True,False,True,False
INTEG420,INTEG,420,001,LEC,5542,40,24,0,0,10:00AM,11:20AM,True,False,True,False,False
ITAL202,ITAL,202,001,LEC,7454,20,6,0,0,11:30AM,12:20AM,True,False,True,False,True
ITAL202,ITAL,202,101,TUT,7455,20,6,0,0,11:30AM,12:20AM,False,True,False,True,False
KIN1,KIN,1,001,LEC,2952,344,311,0,0,8:30AM,9:20AM,True,False,True,False,True
KIN1,KIN,1,001,LAB,2953,35,36,0,0,10:30AM,12:20AM,True,False,False,False,False
KIN1,KIN,1,002,LAB,2954,35,35,0,0,1:30PM,3:20PM,True,False,False,False,False
KIN1,KIN,1,003,LAB,2955,35,32,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN1,KIN,1,004,LAB,2956,35,0,0,0,12:30AM,2:20PM,False,True,False,False,False
KIN1,KIN,1,005,LAB,2957,35,35,0,0,9:30AM,11:20AM,False,False,True,False,False
KIN1,KIN,1,006,LAB,2958,35,34,0,0,12:30AM,2:20PM,False,False,True,False,False
KIN1,KIN,1,007,LAB,2959,35,33,0,0,9:30AM,11:20AM,False,True,False,True,False
KIN1,KIN,1,008,LAB,2960,35,24,0,0,12:30AM,2:20PM,False,True,False,True,False
KIN1,KIN,1,009,LAB,2961,35,35,0,0,9:30AM,11:20AM,False,False,False,False,True
KIN1,KIN,1,010,LAB,2962,35,34,0,0,12:30AM,2:20PM,False,False,False,False,True
KIN1,KIN,1,101,TST,3116,350,298,0,0,4:30PM,6:00PM,False,False,False,False,True
KIN1,KIN,1,001,LAB,3102,25,25,0,0,1:00PM,2:20PM,True,False,False,False,False
KIN1,KIN,1,002,LAB,3103,25,25,0,0,1:00PM,2:20PM,False,False,True,False,False
KIN1,KIN,1,003,LAB,3104,25,25,0,0,1:00PM,2:20PM,False,False,False,False,True
KIN1,KIN,1,001,LEC,3013,387,310,0,0,1:00PM,2:20PM,False,True,False,True,False
KIN1,KIN,1,001,LEC,2884,135,149,0,0,2:30PM,3:50PM,False,True,False,True,False
KIN1,KIN,1,001,LAB,3022,20,21,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN1,KIN,1,002,LAB,3023,20,21,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN1,KIN,1,003,LAB,3024,20,21,0,0,12:30AM,2:20PM,False,False,True,False,False
KIN1,KIN,1,004,LAB,3025,20,21,0,0,12:30AM,2:20PM,False,False,True,False,False
KIN1,KIN,1,005,LAB,3026,20,21,0,0,9:30AM,11:20AM,False,True,False,True,False
KIN1,KIN,1,006,LAB,3094,20,21,0,0,9:30AM,11:20AM,False,True,False,True,False
KIN1,KIN,1,007,LAB,8885,20,21,0,0,12:30AM,2:20PM,False,True,False,False,False
KIN1,KIN,1,001,LEC,2876,195,168,0,0,4:00PM,5:20PM,False,True,False,True,False
KIN1,KIN,1,001,LEC,2997,200,200,0,0,1:00PM,2:20PM,False,True,False,True,False
KIN1,KIN,1,001,LEC,3042,75,75,0,0,8:30AM,9:50AM,True,False,False,False,False
KIN1,KIN,1,101,LAB,3043,25,25,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN1,KIN,1,102,LAB,3044,25,25,0,0,11:00AM,12:50AM,False,False,True,False,False
KIN1,KIN,1,103,LAB,3045,25,25,0,0,9:30AM,11:20AM,False,False,False,False,True
KIN1,KIN,1,001,LEC,3141,50,48,0,0,10:00AM,11:20AM,False,True,False,True,False
KIN1,KIN,1,001,LEC,3040,30,24,0,0,11:30AM,12:50AM,True,False,True,False,False
KIN1,KIN,1,002,LEC,3073,40,22,0,0,4:00PM,5:20PM,False,True,False,True,False
KIN10,KIN,10,001,LEC,2952,344,311,0,0,8:30AM,9:20AM,True,False,True,False,True
KIN10,KIN,10,001,LAB,2953,35,36,0,0,10:30AM,12:20AM,True,False,False,False,False
KIN10,KIN,10,002,LAB,2954,35,35,0,0,1:30PM,3:20PM,True,False,False,False,False
KIN10,KIN,10,003,LAB,2955,35,32,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN10,KIN,10,004,LAB,2956,35,0,0,0,12:30AM,2:20PM,False,True,False,False,False
KIN10,KIN,10,005,LAB,2957,35,35,0,0,9:30AM,11:20AM,False,False,True,False,False
KIN10,KIN,10,006,LAB,2958,35,34,0,0,12:30AM,2:20PM,False,False,True,False,False
KIN10,KIN,10,007,LAB,2959,35,33,0,0,9:30AM,11:20AM,False,True,False,True,False
KIN10,KIN,10,008,LAB,2960,35,24,0,0,12:30AM,2:20PM,False,True,False,True,False
KIN10,KIN,10,009,LAB,2961,35,35,0,0,9:30AM,11:20AM,False,False,False,False,True
KIN10,KIN,10,010,LAB,2962,35,34,0,0,12:30AM,2:20PM,False,False,False,False,True
KIN10,KIN,10,101,TST,3116,350,298,0,0,4:30PM,6:00PM,False,False,False,False,True
KIN10,KIN,10,001,LEC,2876,195,168,0,0,4:00PM,5:20PM,False,True,False,True,False
KIN100,KIN,100,001,LEC,2952,344,311,0,0,8:30AM,9:20AM,True,False,True,False,True
KIN100,KIN,100,001,LAB,2953,35,36,0,0,10:30AM,12:20AM,True,False,False,False,False
KIN100,KIN,100,002,LAB,2954,35,35,0,0,1:30PM,3:20PM,True,False,False,False,False
KIN100,KIN,100,003,LAB,2955,35,32,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN100,KIN,100,004,LAB,2956,35,0,0,0,12:30AM,2:20PM,False,True,False,False,False
KIN100,KIN,100,005,LAB,2957,35,35,0,0,9:30AM,11:20AM,False,False,True,False,False
KIN100,KIN,100,006,LAB,2958,35,34,0,0,12:30AM,2:20PM,False,False,True,False,False
KIN100,KIN,100,007,LAB,2959,35,33,0,0,9:30AM,11:20AM,False,True,False,True,False
KIN100,KIN,100,008,LAB,2960,35,24,0,0,12:30AM,2:20PM,False,True,False,True,False
KIN100,KIN,100,009,LAB,2961,35,35,0,0,9:30AM,11:20AM,False,False,False,False,True
KIN100,KIN,100,010,LAB,2962,35,34,0,0,12:30AM,2:20PM,False,False,False,False,True
KIN100,KIN,100,101,TST,3116,350,298,0,0,4:30PM,6:00PM,False,False,False,False,True
KIN100L,KIN,100L,001,LAB,2953,35,36,0,0,10:30AM,12:20AM,True,False,False,False,False
KIN100L,KIN,100L,002,LAB,2954,35,35,0,0,1:30PM,3:20PM,True,False,False,False,False
KIN100L,KIN,100L,003,LAB,2955,35,32,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN100L,KIN,100L,004,LAB,2956,35,0,0,0,12:30AM,2:20PM,False,True,False,False,False
KIN100L,KIN,100L,005,LAB,2957,35,35,0,0,9:30AM,11:20AM,False,False,True,False,False
KIN100L,KIN,100L,006,LAB,2958,35,34,0,0,12:30AM,2:20PM,False,False,True,False,False
KIN100L,KIN,100L,007,LAB,2959,35,33,0,0,9:30AM,11:20AM,False,True,False,True,False
KIN100L,KIN,100L,008,LAB,2960,35,24,0,0,12:30AM,2:20PM,False,True,False,True,False
KIN100L,KIN,100L,009,LAB,2961,35,35,0,0,9:30AM,11:20AM,False,False,False,False,True
KIN100L,KIN,100L,010,LAB,2962,35,34,0,0,12:30AM,2:20PM,False,False,False,False,True
KIN100L,KIN,100L,101,TST,3116,350,298,0,0,4:30PM,6:00PM,False,False,False,False,True
KIN140L,KIN,140L,001,LAB,3102,25,25,0,0,1:00PM,2:20PM,True,False,False,False,False
KIN140L,KIN,140L,002,LAB,3103,25,25,0,0,1:00PM,2:20PM,False,False,True,False,False
KIN140L,KIN,140L,003,LAB,3104,25,25,0,0,1:00PM,2:20PM,False,False,False,False,True
KIN221,KIN,221,001,LEC,2884,135,149,0,0,2:30PM,3:50PM,False,True,False,True,False
KIN221,KIN,221,001,LAB,3022,20,21,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN221,KIN,221,002,LAB,3023,20,21,0,0,9:30AM,11:20AM,False,True,False,False,False
KIN221,KIN,221,003,LAB,3024,20,21,0,0,12:30AM,2:20PM,False,False,True,False,False
KIN221,KIN,221,004,LAB,3025,20,21,0,0,12:30AM,2:20PM,False,False,True,False,False
KIN221,KIN,221,005,LAB,3026,20,21,0,0,9:30AM,11:20AM,False,True,False,True,False
KIN221,KIN,221,006,LAB,3094,20,21,0,0,9:30AM,11:20AM,False,True,False,True,False
KIN221,KIN,221,007,LAB,8885,20,21,0,0,12:30AM,2:20PM,False,True,False,False,False
KIN320,KIN,320,001,LEC,3074,50,31,0,0,2:30PM,3:50PM,False,True,False,True,False
KIN352,KIN,352,001,LEC,2987,40,40,0,0,1:00PM,2:20PM,True,False,True,False,False
KIN356,KIN,356,001,LEC,2885,70,57,0,0,2:30PM,3:50PM,False,True,False,True,False
KIN403,KIN,403,001,LEC,3075,50,45,0,0,11:30AM,12:50AM,True,False,True,False,False
KIN404,KIN,404,001,LEC,3076,155,133,0,0,8:30AM,9:50AM,False,True,False,True,False
KIN415,KIN,415,001,LEC,3141,50,48,0,0,10:00AM,11:20AM,False,True,False,True,False
KIN470,KIN,470,001,SEM,2949,30,30,0,0,2:30PM,3:50PM,True,False,True,False,False
KIN470,KIN,470,002,SEM,2982,30,16,0,0,2:30PM,3:50PM,True,False,True,False,False
KIN470,KIN,470,003,SEM,3161,30,24,0,0,11:30AM,12:50AM,False,True,False,True,False
KIN470,KIN,470,004,SEM,3162,30,30,0,0,11:30AM,12:50AM,False,True,False,True,False
KIN471,KIN,471,001,LEC,3040,30,24,0,0,11:30AM,12:50AM,True,False,True,False,False
KIN471,KIN,471,002,LEC,3073,40,22,0,0,4:00PM,5:20PM,False,True,False,True,False
LAT102,LAT,102,001,LEC,3281,35,18,0,0,8:30AM,9:20AM,True,False,True,False,True
