Course Strings
ACTSC
AFM
AHS
AMATH
ANTH
APPLS
ARBUS
ARCH
ARCHL
ARTS
ASTRN
AVIA
BET
BIOL
BUS
CDNST
CHE
CHEM
CHINA
CIVE
CLAS
CM
CMW
CO
COMM
COMMST
COOP
CROAT
CS
DAC
DANCE
DRAMA
DUTCH
EARTH
EASIA
ECE
ECON
EFAS
ENBUS
ENGL
ENVE
ENVS
ERS
ESL
FILM
FINE
FR
FRCS
GBDA
GENE
GEOE
GEOG
GER
GERON
GLOBAL
GRK
HEBRW
HIST
HLTH
HRM
HUMSC
INDEV
INTEG
INTST
INTTS
IS
ISS
ITAL
ITALST
JAPAN
JS
KIN
KOREA
KPE
LAT
LS
LSC
MATBUS
MATH
ME
MEDVL
MES
MI
MNS
MSCI
MTE
MTHEL
MUSIC
NATST
NE
OPTOM
PACS
PD
PDARCH
PDENG
PDPHRM
PHARM
PHIL
PHYS
PLAN
PMATH
POLSH
PORT
PSCI
PSYCH
REC
REES
RELC
RS
RUSS
SCBUS
SCI
SDS
SE
SI
SIPAR
SMF
SOC
SOCIN
SOCWK
SPAN
SPCOM
SPD
STAT
STV
SWREN
SYDE
UKRAN
UNIV
URBAN
VCULT
WKRPT
WS
